spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
								omnivore								university teacher				
								natural person								physicist				
20048411	48411	48411 Johnventre	48411 Johnventre															Johnventre	3.717	1948-10-08
20048415	48415	(48415) Dehio		Georg Dehio	German art historian (1850–1932)	human	organisms known by a particular common name	mammal					1850-11-22T00:00:00Z	1932-03-19T00:00:00Z	Germany	art historian	male	Dehio	5.544	1987-08-21
								person						1932-03-21T00:00:00Z	Russian Empire	university teacher				
								individual animal												
								omnivore												
								natural person												
20048422	48422	سیارک ۴۸۴۲۲		Hugo Schrade	German manager (1900-1974)	human	organisms known by a particular common name	mammal					1900-08-04T00:00:00Z	1974-08-18T00:00:00Z	German Democratic Republic		male	Schrade	1.913	1981-10-25
								person												
								individual animal												
								omnivore												
								natural person												
20048424	48424	48424 Souchay	48424 Souchay															Souchay	4.957	1988-12-05
20048434	48434	سیارک ۴۸۴۳۴																Maxbeckmann	5.503	1989-10-23
20048435	48435	سیارک ۴۸۴۳۵																Jaspers	5.956	1989-10-23
20048451	48451	48451 Pichincha	48451 Pichincha	Pichincha Volcano	volcano in Quito Metro, Ecuador	mountain	feature type	elevation		Ecuador	-0.17722222222222,-78.598888888889							Pichincha	6.293	1991-08-02
							geographical feature	natural geographic object												
						stratovolcano		volcano												
20048456	48456	سیارک ۴۸۴۵۶		Wilhelm Wien	German physicist (1864-1928)	human	organisms known by a particular common name	mammal					1864-01-13T00:00:00Z	1928-08-30T00:00:00Z	Germany	physicist	male	Wilhelmwien	8.722	1991-09-12
								person								university teacher				
								individual animal								theoretical physicist				
								omnivore												
								natural person												
20048458	48458	48458 Merian	48458 Merian	Matthäus Merian	Swiss-born engraver, publisher (1593 - 1650)	human	organisms known by a particular common name	mammal					1593-09-22T00:00:00Z	1650-06-19T00:00:00Z	Holy Roman Empire	cartographer	male	Merian	10.249	1982-01-26
								person							Switzerland	publisher				
								individual animal								graphic artist				
								omnivore								painter				
								natural person								copper engraver				
																printmaker				
																illustrator				
																visual artist				
20048461	48461	48461 Sabrinamaricia	48461 Sabrinamaricia															Sabrinamaricia	5.496	1991-09-06
20048471	48471	48471 Orchiston	48471 Orchiston															Orchiston	1.953	1991-09-16
20048472	48472	48472 Mössbauer	48472 Mössbauer	Rudolf Mössbauer	German nuclear physicist and Noble Prize in Physics	human	organisms known by a particular common name	mammal					1929-01-31T00:00:00Z	2011-09-14T00:00:00Z	Germany	physicist	male	Mossbauer	2.396	1991-10-02
								person								university teacher				
								individual animal								nuclear physicist				
								omnivore												
								natural person												
20048480	48480	(48480) Falk		Johannes Daniel Falk	German poet	human	organisms known by a particular common name	mammal					1768-10-28T00:00:00Z	1826-02-14T00:00:00Z	Germany	poet	male	Falk	4.089	1991-12-28
								person								hymnwriter				
								individual animal								writer				
								omnivore												
								natural person												
20048482	48482	48482 Oruki	48482 Oruki															Oruki	8.096	1990-11-14
20048495	48495	48495 Ryugado	48495 Ryugado															Ryugado	1.917	1955-05-17
20048529	48529	48529 von Wrangel	48529 von Wrangel															von Wrangel	9.936	1978-10-27
20048575	48575	(48575) Hawaii		Hawaii	largest of the Hawaiian islands	volcanic island		island		United States	19.59,-155.435							Hawaii	6.823	1991-11-05
								volcanic landform												
20048588	48588	48588 Raschröder	48588 Raschröder															Raschroder	1.893	1991-12-13
20048607	48607	48607 Yamagatatemodai	48607 Yamagatatemodai															Yamagatatemodai	6.843	1955-04-21
20048616	48616	48616 Yeminghan	48616 Yeminghan															Yeminghan	8.214	1992-09-22
20048624	48624	48624 Sadayuki	48624 Sadayuki															Sadayuki	3.864	1994-02-04
20048628	48628	48628 Janetfender	48628 Janetfender															Janetfender	2.512	1995-08-29
20048636	48636	48636 Huangkun	48636 Huangkun															Huangkun	1.528	1988-11-04
20048640	48640	48640 Eziobosso	48640 Eziobosso	Ezio Bosso	Italian composer, pianist and conductor (1971–2020)	human	organisms known by a particular common name	mammal					1971-09-13T00:00:00Z	2020-05-15T00:00:00Z	Italy	composer	male	Eziobosso	2.168	1995-10-17
								person								conductor				
								individual animal								pianist				
								omnivore												
								natural person												
20048650	48650	48650 Kazanuniversity	48650 Kazanuniversity	Kazan Federal University	Russian university	federal university		public university		Russia	55.79075,49.121911111111							Kazanuniversity	3.654	1995-10-17
20048700	48700	48700 Hanggao	48700 Hanggao	Hangzhou High School	public school in Hangzhou, Zhejiang, People's Republic of China	high school		secondary school		People's Republic of China	30.26722222,120.16722222							Hanggao	3.723	1996-04-17
20048715	48715	48715 Balbinot	48715 Balbinot	Roberto Balbinot	Italian physicist (1956-)	human	organisms known by a particular common name	mammal					1956-04-21T00:00:00Z		Italy	physicist	male	Balbinot	9.260	1996-09-10
								person												
								individual animal												
								omnivore												
								natural person												
20048736	48736	愛媛		Ehime Prefecture	prefecture of Japan	prefecture of Japan	designation for an administrative territorial entity of a single country	administrative territorial entity of Japan		Japan	33.841388888888886,132.76555555555555							Ehime	2.578	1997-02-27
								first-level administrative division												
								prefecture												
								region												
								ordinary local public entity												
20048767	48767	48767 Skamander	48767 Skamander															Skamander	21.815	1997-05-03
20048773	48773	48773 Davidrowe	48773 Davidrowe															Davidrowe	6.682	1989-11-02
20048774	48774	48774 Anngower	48774 Anngower															Anngower	5.344	1992-05-24
20048778	48778	48778 Shokoyukako	48778 Shokoyukako															Shokoyukako	3.946	1995-03-05
20048779	48779	48779 Mariko	48779 Mariko	Mariko Hamada	Japanese musician	human	organisms known by a particular common name	mammal					1964-09-30T00:00:00Z		Japan	musician	female	Mariko	2.779	1997-09-01
								person												
								individual animal												
								omnivore												
								natural person												
20048782	48782	سیارک ۴۸۷۸۲		Olga Fierz	(1900-1990)	human	organisms known by a particular common name	mammal					1900-07-26T00:00:00Z	1990-06-17T00:00:00Z	Switzerland	translator	female	Fierz	3.501	1997-09-20
								person								opinion journalist				
								individual animal								teacher				
								omnivore												
								natural person												
20048798	48798	48798 Penghuanwu	48798 Penghuanwu															Penghuanwu	4.201	1997-10-06
20048799	48799	48799 Tashikuergan	48799 Tashikuergan															Tashikuergan	3.001	1971-03-25
20048801	48801	سیارک ۴۸۸۰۱		Josef Penninger	Austrian geneticist	human	organisms known by a particular common name	mammal					1964-09-05T00:00:00Z		Austria	geneticist	male	Penninger	6.664	1982-07-11
								person								researcher				
								individual animal												
								omnivore												
								natural person												
20048807	48807	48807 Takahata	48807 Takahata															Takahata	4.951	1997-10-22
20048842	48842	48842 Alexmazzanti	48842 Alexmazzanti															Alexmazzanti	17.019	1977-03-20
20048909	48909	48909 Laurake	48909 Laurake															Laurake	1.727	1991-08-08
20048915	48915	48915 Patbrandebourg	48915 Patbrandebourg															Patbrandebourg	1.554	1994-06-06
20049109	49109	49109 Agnesraab	49109 Agnesraab															Agnesraab	3.041	1977-07-21
20049187	49187	49187 Zucchini	49187 Zucchini															Zucchini	1.465	1988-12-07
20049265	49265	49265 Raphaeljimenez	49265 Raphaeljimenez															Raphaeljimenez	1.688	1995-11-30
20049291	49291	(49291) 1998 VJ		The Chills	New Zealand band	musical group		musical ensemble										Thechills	5.592	1996-05-18
20049294	49294	49294 Jacqclairnoëns	49294 Jacqclairnoëns															Jacqclairnoens	1.597	1955-09-23
20049382	49382	(49382) Lynnokamoto		Lynn Okamoto	Japanese mangaka	human	organisms known by a particular common name	mammal					1970-01-06T00:00:00Z		Japan	mangaka	male	Lynnokamoto	6.719	1997-06-26
								person												
								individual animal												
								omnivore												
								natural person												
20049384	49384	49384 Hubertnaudot	49384 Hubertnaudot															Hubertnaudot	3.558	1998-12-12
20049439	49439	49439 Jeanlouispala	49439 Jeanlouispala															Jeanlouispala	4.758	1994-02-10
20049440	49440	سیارک ۴۹۴۴۰		Kenzō Tange	Japanese architect (1913–2005)	human	organisms known by a particular common name	mammal					1913-09-04T00:00:00Z	2005-03-22T00:00:00Z	Japan	architect	male	Kenzotange	7.042	1991-10-03
								person							Empire of Japan	urban planner				
								individual animal								university teacher				
								omnivore												
								natural person												
20049443	49443	49443 Marcobondi	49443 Marcobondi															Marcobondi	6.286	1998-12-15
20049469	49469	49469 Emilianomazzoni	49469 Emilianomazzoni															Emilianomazzoni	8.649	1996-08-20
20049481	49481	49481 Gisellarubini	49481 Gisellarubini															Gisellarubini	6.997	1998-11-24
20049500	49500	49500 Ishitoshi	49500 Ishitoshi															Ishitoshi	7.971	1986-11-04
20049501	49501	49501 Basso	49501 Basso															Basso	7.620	1997-09-09
20049699	49699	49699 Hidetakasato	49699 Hidetakasato															Hidetakasato	5.249	1990-07-21
20049700	49700	49700 Mather	49700 Mather															Mather	2.068	1998-05-22
20049987	49987	49987 Bonata	49987 Bonata															Bonata	3.256	1990-12-17
20050033	50033	ペレルマン		Grigori Perelman	Russian mathematician (born 1966)	human	organisms known by a particular common name	mammal					1966-06-13T00:00:00Z		Soviet Union	mathematician	male	Perelman	5.951	1991-02-08
								person							Russia					
								individual animal												
								omnivore												
								natural person												
20050240	50240	50240 Cortina	50240 Cortina	Cortina d'Ampezzo	town and comune in the Province of Belluno, in the Veneto region of Northern Italy	commune of Italy		third-level administrative division		Italy	46.538333,12.137351							Cortina	3.517	1978-11-29
								administrative territorial entity of Italy												
								municipality												
20050251	50251	50251 Iorg	50251 Iorg															Iorg	4.506	1996-05-11
20050275	50275	50275 Marcocasalini	50275 Marcocasalini															Marcocasalini	6.946	1976-05-30
20050412	50412	50412 Ewen	50412 Ewen															Ewen	5.479	1996-04-14
20050413	50413	50413 Petrginz	50413 Petrginz	Petr Ginz	Czech victim of Holocaust (1928–1944)	human	organisms known by a particular common name	mammal					1928-02-01T00:00:00Z	1944-09-29T00:00:00Z	Czechoslovakia	Esperantist	male	Petrginz	3.308	1998-10-29
								person								writer				
								individual animal												
								omnivore												
								natural person												
20050553	50553	50553 Dilles	50553 Dilles															Dilles	2.995	1998-12-15
20050687	50687	50687 Paultemple	50687 Paultemple															Paultemple	4.906	1976-05-30
20050717	50717	50717 Jimfox	50717 Jimfox															Jimfox	12.029	1998-12-19
20050719	50719	50719 Elizabethgriffin	50719 Elizabethgriffin															Elizabethgriffin	3.307	1998-10-16
20050722	50722	50722 Sherlin	50722 Sherlin															Sherlin	7.640	1994-02-12
20050725	50725	50725 Margarethuggins	50725 Margarethuggins															Margarethuggins	2.979	1998-09-14
20050727	50727	50727 Aliceverett	50727 Aliceverett															Aliceverett	5.261	1997-09-27
